textbox22
generated on 06/05/2021 00:37:45 UTC

HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2020,52,2020-12-21,2020-12-27,All,24,,136711,,17.56,,,,,,,,,,,,,,,,,,,,2088,,1470725,,141.97,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Ukraine,2020,52,2020-12-21,2020-12-27,All,21,,39140,,53.65,,,,,,,,133,455,0,29.23,,17,,,1,0,,,144810,,37995277,,381.13,,,,,,1,,1,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2020,52,2020-12-21,2020-12-27,All,6,,175109,,3.43,,,,,,,,32,278,0,11.51,,12,,,12,12,,,3654,,2972732,,122.92,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Azerbaijan,2020,52,2020-12-21,2020-12-27,All,48,,2733,,1756.31,,,,,,,,3,172,0,1.74,,0,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2020,52,2020-12-21,2020-12-27,All,25,,52839,,47.31,,,,,,,,,,,,,,,,,,,,211,,52839,,399.33,,,,,,1,,2,1
Northern hemishere,Europe,EUR,South West Europe,Albania,2020,52,2020-12-21,2020-12-27,All,0,,,,,,,,,,,,188,188,2800138,100.00,6.71,188,,,188,138,,,7688,,2800138,,274.56,,,,,,1,,1,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2020,52,2020-12-21,2020-12-27,All,184,,48433,,379.91,,,,,,,,208,471,,44.16,,9,,,9,,,,,,,,,,,,,,1,,1,3
Northern hemishere,Europe,EUR,South West Europe,Croatia,2020,52,2020-12-21,2020-12-27,All,0,,4124531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2020,52,2020-12-21,2020-12-27,All,53,,68525,,77.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,52,2020-12-21,2020-12-27,All,124,,290666,,42.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2020,52,2020-12-21,2020-12-27,All,619,,2052197,,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Norway,2020,52,2020-12-21,2020-12-27,All,220,,5286033,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2020,52,2020-12-21,2020-12-27,All,748,,905609,,82.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Kosovo (in accordance with Security Council resolution 1244 (1999)),2020,52,2020-12-21,2020-12-27,All,327,,1827231,,17.90,,,,,,,,0,,885001,,0.00,0,,,,,,,169,,1827231,,9.25,,,,,,1,,2,3
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,51,2020-12-14,2020-12-20,All,43,,714653,,6.02,,,,,,,,506,5819,,8.70,,19,,,19,1,,,76644,,5489933,,1396.08,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,51,2020-12-14,2020-12-20,All,,,,,,,,,,,,,3,429,,0.70,,3,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,51,2020-12-14,2020-12-20,All,203,,175559,,115.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,51,2020-12-14,2020-12-20,All,2288,,1609044,,142.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,51,2020-12-14,2020-12-20,All,5,,54092338,,0.01,,,,,,,,226,2222,,10.17,,72,,,72,26,,,435278,,54092338,,804.69,,,,,,1,,,
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,51,2020-12-14,2020-12-20,All,3,,418069,,0.72,,,,,,,,,,,,,,,,,,,,1857,,418069,,444.19,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,51,2020-12-14,2020-12-20,All,187,,160071,,116.82,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,51,2020-12-14,2020-12-20,All,486,,4919918,,9.88,,,,,,,,,,,,,,,,,,,,22260,,4919918,,452.45,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,51,2020-12-14,2020-12-20,All,,,,,,,,,,,,,,,,,,,,,,,,,13331,,1329112,,1003.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,51,2020-12-14,2020-12-20,All,35,,2075301,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,51,2020-12-14,2020-12-20,All,12,,2794207,,0.43,,,,,,,,,,,,,,,,,,,,10662,,2794207,,381.58,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,51,2020-12-14,2020-12-20,All,3,323,,9.29,,,,,,,,,,,,,,,,,,,,,58,323,,179.57,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,51,2020-12-14,2020-12-20,All,4,,92025,,4.35,,,,,,,,,,,,,,,,,,,,811,,92025,,881.28,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,51,2020-12-14,2020-12-20,All,0,,397551,,0.00,,,,,,,,99,2179,980875,4.54,10.09,8,,,8,2,,,434,,397551,,109.17,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,51,2020-12-14,2020-12-20,All,8713,,7258753,,120.03,,,,,,,,27,716,,3.77,,0,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Slovakia,2020,51,2020-12-14,2020-12-20,All,608,,1846120,,32.93,,,,,,,,,,,,,,,,,,,,11885,,1846120,,643.78,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,51,2020-12-14,2020-12-20,All,0,,65635,,0.00,,,,,,,,,,,,,,,,,,,,269,,65635,,409.84,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,51,2020-12-14,2020-12-20,All,,,,,,,,,,,,,,,,,,,,,,,,,221,,137949,,160.20,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,51,2020-12-14,2020-12-20,All,137,,174568,,78.48,,,,,,,,,,,,,,,,,,,,3729,,1328976,,280.59,,,,,,2,,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,51,2020-12-14,2020-12-20,All,12307,,64812052,,18.99,,,,,,,,,,,,,,,,,,,,37600,,64812052,,58.01,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2020,51,2020-12-14,2020-12-20,All,218,,56271,,387.41,,,,,,,,204,424,,48.11,,22,,,22,,,,,,,,,,,,,,1,,3,3
Northern hemishere,Europe,EUR,South West Europe,Malta,2020,51,2020-12-14,2020-12-20,All,23,621,,37.04,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Montenegro,2020,51,2020-12-14,2020-12-20,All,2,,620029,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Norway,2020,51,2020-12-14,2020-12-20,All,415,,5492304,,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2020,51,2020-12-14,2020-12-20,All,24,,150482,,15.95,,,,,,,,,,,,,,,,,,,,3207,,1485081,,215.95,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Ukraine,2020,51,2020-12-14,2020-12-20,All,33,,39140,,84.31,,,,,,,,185,672,0,27.53,,13,,,9,4,,,171996,,37995277,,452.68,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2020,51,2020-12-14,2020-12-20,All,83,,61869,,134.15,,,,,,,,,,,,,,,,,,,,478,,61869,,772.60,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,51,2020-12-14,2020-12-20,All,,,,,,,,,,,,,,,,,,,,,,,,,2490,,378884,,657.19,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Azerbaijan,2020,51,2020-12-14,2020-12-20,All,52,,2895,,1796.20,,,,,,,,2,260,0,0.77,,0,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Albania,2020,51,2020-12-14,2020-12-20,All,0,,,,,,,,,,,,304,304,2800138,100.00,10.86,304,,,304,218,,,8299,,2800138,,296.38,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2020,51,2020-12-14,2020-12-20,All,6,,175109,,3.43,,,,,,,,40,392,0,10.20,,9,,,9,9,,,3960,,2972732,,133.21,,,,,,1,1,1,
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2020,51,2020-12-14,2020-12-20,All,1136,,2061762,,55.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2020,51,2020-12-14,2020-12-20,All,70,,57049,,122.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Croatia,2020,51,2020-12-14,2020-12-20,All,0,,4124531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,51,2020-12-14,2020-12-20,All,127,,303247,,41.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,South West Europe,Portugal,2020,51,2020-12-14,2020-12-20,All,0,,11460,,0.00,,,,,,,,,,,,,,,,,,,,2,,11460,,17.45,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2020,51,2020-12-14,2020-12-20,All,1032,,975707,,105.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Kosovo (in accordance with Security Council resolution 1244 (1999)),2020,51,2020-12-14,2020-12-20,All,213,,1827231,,11.66,,,,,,,,2,,885001,,0.23,2,,,,,,,77,,1827231,,4.21,,,,,,1,,2,1
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,50,2020-12-07,2020-12-13,All,,,,,,,,,,,,,2,429,,0.47,,2,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,50,2020-12-07,2020-12-13,All,170,,166524,,102.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,50,2020-12-07,2020-12-13,All,37,,714653,,5.18,,,,,,,,509,5686,,8.95,,30,,,47,7,,,80021,,5489933,,1457.60,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,50,2020-12-07,2020-12-13,All,,,,,,,,,,,,,,,,,,,,,,,,,3016,,378884,,796.02,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,50,2020-12-07,2020-12-13,All,85,,302150,,28.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,50,2020-12-07,2020-12-13,All,2246,,1612367,,139.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,50,2020-12-07,2020-12-13,All,0,,336284,,0.00,,,,,,,,,,,,,,,,,,,,1533,,336284,,455.86,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,50,2020-12-07,2020-12-13,All,10306,,7258753,,141.98,,,,,,,,19,739,,2.57,,0,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,50,2020-12-07,2020-12-13,All,,,,,,,,,,,,,131,2019,,6.49,,79,,,79,25,,,,,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,50,2020-12-07,2020-12-13,All,,,,,,,,,,,,,,,,,,,,,,,,,16109,,1409361,,1143.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,50,2020-12-07,2020-12-13,All,543,,4889844,,11.10,,,,,,,,,,,,,,,,,,,,22281,,4889844,,455.66,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,50,2020-12-07,2020-12-13,All,166,,149742,,110.86,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,50,2020-12-07,2020-12-13,All,6,371,,16.17,,,,,,,,,,,,,,,,,,,,,54,371,,145.55,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,50,2020-12-07,2020-12-13,All,0,,87539,,0.00,,,,,,,,,,,,,,,,,,,,694,,87539,,792.79,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,50,2020-12-07,2020-12-13,All,23,,2794207,,0.82,,,,,,,,,,,,,,,,,,,,11131,,2794207,,398.36,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,50,2020-12-07,2020-12-13,All,29,,2075301,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
